Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
35.0,4.3,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,38,13.673454323955001
39.0,4.1,Stormy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,36,16.104911907708082
33.0,4.2,Cloudy,Low,2,Buffet,scooter,1.0,No,Metropolitian,35,13.96498756438362
26.0,5.0,Sunny,Low,1,Drinks,scooter,1.0,No,Urban,18,7.785345992082555
27.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,11,16.37407996770264
33.0,4.6,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,30,19.827098618527707
23.0,4.7,Windy,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,17,3.0585540354492835
36.0,4.7,Windy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,41,13.960989369996327
31.0,4.9,Cloudy,Low,0,Drinks,motorcycle,0.0,No,,24,9.35745690225083
25.0,4.5,Stormy,Jam,1,Snack,scooter,1.0,No,Urban,26,10.874246219558394
24.0,4.8,Windy,Low,2,Drinks,motorcycle,0.0,No,Metropolitian,10,3.1031420075334495
24.0,4.5,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,15,3.0624112193526765
26.0,5.0,Sunny,Jam,1,Snack,scooter,1.0,No,Urban,24,12.095567451499912
29.0,4.8,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,22,4.628706548159806
38.0,4.7,Windy,Low,1,Drinks,scooter,0.0,No,Metropolitian,29,17.127317372717336
37.0,4.4,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,49,7.56299152896416
39.0,4.8,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,43,12.572369364893285
21.0,4.7,Stormy,Low,2,Drinks,scooter,0.0,No,Metropolitian,16,1.5571557122883684
27.0,4.6,Fog,Jam,2,Buffet,scooter,1.0,No,Urban,39,13.821370351042946
29.0,4.2,Cloudy,Jam,1,Meal,scooter,0.0,No,Metropolitian,34,7.597027583052677
21.0,4.9,Fog,Jam,0,Snack,motorcycle,1.0,No,Urban,41,12.099729662192244
39.0,4.6,Sunny,Jam,1,Drinks,motorcycle,,No,Urban,16,13.397583663216206
21.0,4.8,Windy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,28,16.71018099933172
28.0,4.7,Stormy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,30,6.123259471591566
24.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Metropolitian,23,4.660730175387073
35.0,4.2,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,41,16.814819673345152
30.0,4.9,Windy,High,1,Snack,scooter,1.0,No,Metropolitian,28,1.5282026863007672
32.0,4.7,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,29,20.83498464793918
34.0,4.8,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,29,4.46655615994545
28.0,4.8,Windy,Jam,2,Buffet,motorcycle,1.0,No,Urban,11,9.116147130869166
39.0,4.2,Windy,High,1,Meal,motorcycle,1.0,No,Metropolitian,32,6.238399474561294
25.0,4.9,Stormy,Jam,2,Drinks,motorcycle,0.0,No,Urban,15,7.596908707866855
26.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,14,4.586017663612252
34.0,4.8,Cloudy,Low,2,Drinks,scooter,0.0,No,Urban,15,1.4972086887566696
29.0,4.8,Cloudy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,19,7.785510196225889
28.0,4.4,Sunny,High,0,Drinks,motorcycle,2.0,No,Metropolitian,41,6.205836682929626
39.0,4.3,Stormy,Medium,1,Buffet,scooter,2.0,No,Metropolitian,34,12.109436743860439
29.0,4.9,Sunny,Medium,0,Meal,motorcycle,1.0,No,Urban,22,7.596294252790053
34.0,4.8,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,34,6.101399547762836
,,,,3,Drinks,electric_scooter,1.0,No,Metropolitian,31,10.799855346673697
28.0,4.5,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,17,4.535140530796238
35.0,4.6,Sunny,Medium,1,Snack,scooter,1.0,No,Urban,29,16.625353359544402
28.0,4.8,Sunny,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,11,12.286447546207045
26.0,4.8,Sunny,Medium,1,Drinks,scooter,1.0,No,Metropolitian,11,20.05631989204089
25.0,4.8,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Urban,19,13.77804307981544
35.0,4.6,Sunny,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,15,14.013517669953584
33.0,4.9,Cloudy,Medium,2,Meal,scooter,0.0,No,Urban,15,6.238399474561294
21.0,4.7,Cloudy,Low,1,Meal,scooter,,No,Metropolitian,15,2.9784183832910833
23.0,5.0,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,41,10.858049044886183
37.0,4.8,Sunny,High,1,Snack,scooter,1.0,No,Metropolitian,22,6.077386271320292
34.0,5.0,Cloudy,Jam,1,Drinks,scooter,0.0,No,Metropolitian,43,17.12664806594726
34.0,4.2,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,28,9.18732212501908
21.0,4.7,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,19,7.785535092443026
22.0,4.8,Windy,Low,2,Snack,electric_scooter,0.0,No,Metropolitian,13,10.718227151424722
23.0,,Sunny,Low,1,Snack,scooter,1.0,No,Metropolitian,25,10.438661541502594
33.0,4.8,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,32,4.537777720419507
38.0,4.6,Windy,Low,2,Drinks,scooter,1.0,No,Metropolitian,25,12.286447546207045
35.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,0.0,No,,34,9.070659680148667
20.0,4.8,Fog,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,13,3.114184328905786
32.0,4.9,Windy,Medium,2,Snack,electric_scooter,0.0,No,Metropolitian,27,16.842943505791183
31.0,4.9,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,39,9.116067016572547
30.0,4.3,Windy,Jam,0,Drinks,motorcycle,,No,Metropolitian,36,7.5686871080448785
36.0,4.5,Stormy,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,29,20.274743334842952
28.0,4.8,Stormy,Low,1,Drinks,scooter,0.0,No,Metropolitian,16,3.0715241083704314
33.0,4.5,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Urban,28,12.24899204345207
33.0,5.0,Windy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,20,7.444260602272398
21.0,5.0,Sandstorms,Low,2,Buffet,scooter,0.0,No,Urban,11,3.071688713436621
26.0,4.7,Windy,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,27,12.229484834765366
29.0,4.6,Sunny,Medium,2,Drinks,scooter,1.0,No,Metropolitian,18,12.153781678181316
29.0,4.9,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,18,1.5715464192431179
33.0,4.7,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,49,17.287005375714283
25.0,5.0,Sunny,Jam,1,Buffet,motorcycle,1.0,No,Urban,16,10.418929518264669
22.0,4.7,Sandstorms,Jam,1,Buffet,scooter,1.0,No,Metropolitian,25,19.075374220542663
30.0,5.0,Cloudy,Jam,0,Drinks,motorcycle,1.0,Yes,Metropolitian,44,14.143914925457633
34.0,4.6,Fog,Low,2,Buffet,scooter,0.0,No,Metropolitian,16,7.758733266280636
24.0,4.8,Sandstorms,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,15,10.580177143381626
21.0,4.9,Stormy,Low,1,Buffet,scooter,0.0,No,Metropolitian,16,9.308196417704803
28.0,4.8,Sunny,Low,2,Drinks,scooter,1.0,No,Urban,15,1.5115240180158784
34.0,4.8,Stormy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,27,19.902632047858415
27.0,4.9,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,37,16.81159390431658
27.0,4.6,Stormy,Medium,1,Drinks,scooter,0.0,No,,23,9.175382562270872
37.0,4.8,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Urban,41,14.143914925457633
36.0,4.9,Windy,Low,2,Meal,scooter,0.0,No,Metropolitian,26,3.062085733498809
38.0,4.5,Sunny,Medium,1,Meal,scooter,1.0,No,Urban,20,4.7146391697631795
34.0,3.8,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,36,19.350668594779336
21.0,4.8,Windy,Medium,1,Meal,scooter,0.0,No,Metropolitian,20,9.050174518151946
30.0,4.7,Stormy,Low,1,Snack,scooter,1.0,No,Urban,20,3.1034202009699072
38.0,4.3,Fog,Jam,2,Snack,electric_scooter,2.0,No,Metropolitian,39,4.534664471754556
,,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,29,10.861420502487954
23.0,5.0,Cloudy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,29,2.994312554708817
35.0,5.0,Stormy,High,1,Drinks,motorcycle,1.0,No,Metropolitian,27,6.206246654851814
32.0,4.6,Windy,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,22,1.5358991444560308
38.0,4.8,Stormy,Low,1,Buffet,scooter,1.0,No,Metropolitian,22,19.61612124256568
31.0,4.9,Windy,High,1,Buffet,motorcycle,0.0,No,Metropolitian,30,6.077273831143788
28.0,3.5,Sunny,Low,1,Meal,scooter,1.0,No,Metropolitian,38,12.410213337676835
31.0,4.9,Fog,Low,2,Meal,scooter,1.0,No,Metropolitian,15,3.1141653989201736
32.0,4.5,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,24,9.050338497093803
23.0,4.8,Cloudy,Low,2,Buffet,electric_scooter,1.0,No,,23,12.231002348019677
29.0,4.8,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,23,10.700622487999441
22.0,4.7,Cloudy,Medium,1,Snack,scooter,1.0,No,Metropolitian,28,16.625073653872622
32.0,4.7,Windy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,44,16.839360768779567
22.0,4.6,Stormy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,21,10.700952266897463
27.0,4.9,Cloudy,Low,2,Drinks,scooter,0.0,No,Metropolitian,19,1.535656573031198
35.0,4.2,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,42,20.19389491091137
35.0,4.9,Fog,Medium,2,Buffet,scooter,0.0,No,Urban,18,7.767216569613665
20.0,4.7,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,19,7.485450891486836
27.0,4.6,Stormy,Low,1,Snack,scooter,0.0,No,Metropolitian,18,3.0182462486348176
27.0,4.6,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Urban,17,1.5084989576037362
,,Windy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,26,16.590531424501506
26.0,4.6,Stormy,High,2,Snack,motorcycle,1.0,No,Metropolitian,18,6.0773213045472465
,,,,3,Snack,scooter,1.0,No,Metropolitian,21,3.016805527224896
38.0,4.9,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,38,16.37569278052891
34.0,4.4,Cloudy,Low,0,Meal,motorcycle,2.0,No,Metropolitian,40,10.85904400876302
26.0,4.0,Fog,Jam,1,Buffet,motorcycle,,No,Metropolitian,33,4.541340963978154
37.0,4.9,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Urban,30,4.679160542259993
33.0,4.8,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,44,10.59576109001216
35.0,4.2,Cloudy,Medium,2,Drinks,motorcycle,2.0,Yes,Urban,41,12.245835358550957
39.0,4.2,Fog,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,38,7.678531344374307
35.0,4.1,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,49,20.241072277914107
25.0,4.8,Sunny,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,15,13.17663420590779
35.0,4.9,Fog,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,47,12.065971572275629
32.0,4.5,Windy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,27,1.535786655894328
26.0,4.2,Fog,Medium,2,Buffet,motorcycle,1.0,No,Urban,31,17.088068817820044
25.0,4.8,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,37,4.655076776419026
22.0,4.1,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,9.069047141560858
31.0,5.0,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,17,4.607132628269985
28.0,4.8,Fog,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,22,4.660844635932821
37.0,4.6,Sunny,Jam,1,Meal,scooter,1.0,No,Metropolitian,16,4.593432080080977
31.0,4.1,Stormy,Medium,0,Drinks,motorcycle,1.0,Yes,Metropolitian,46,12.427431122132731
35.0,4.6,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,24,3.01694589522976
38.0,5.0,Sunny,Low,1,Snack,motorcycle,1.0,No,Urban,12,3.0717477942771683
36.0,5.0,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,43,10.557772806549288
28.0,4.9,Fog,Low,2,Buffet,motorcycle,1.0,No,Urban,10,1.5517064683264987
26.0,4.6,Cloudy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,32,13.573815099416741
31.0,4.7,Windy,High,0,Drinks,motorcycle,0.0,No,Metropolitian,44,1.5310641453191796
33.0,4.7,Sunny,High,1,Buffet,motorcycle,1.0,No,Metropolitian,18,6.046157825579545
20.0,4.5,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,25,13.176557972373365
39.0,4.7,Fog,High,1,Snack,motorcycle,0.0,No,Metropolitian,39,5.955277732254465
30.0,4.5,Sunny,Medium,2,Buffet,scooter,1.0,No,Metropolitian,21,4.403577920372992
39.0,4.8,Windy,High,2,Meal,electric_scooter,1.0,No,Metropolitian,27,6.28618544846543
21.0,5.0,Sunny,Low,0,Snack,motorcycle,0.0,No,Metropolitian,11,4.467540049378466
38.0,4.9,Cloudy,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,16,9.082372237981877
21.0,4.6,Stormy,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,29,12.572369364893285
38.0,4.8,Windy,Low,1,Meal,scooter,1.0,No,Metropolitian,28,7.338574491685947
20.0,4.9,Sunny,High,2,Meal,scooter,1.0,No,Metropolitian,19,1.5282026863007672
39.0,4.8,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,22,9.30699144882563
30.0,4.7,Sunny,Medium,1,Drinks,motorcycle,1.0,No,Urban,17,19.64703048960092
31.0,4.9,Fog,Medium,2,Snack,electric_scooter,0.0,No,Urban,17,4.7146391697631795
25.0,4.6,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,37,16.626363248214012
37.0,4.9,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,34,9.321172618992248
36.0,4.9,Sandstorms,Jam,1,Snack,scooter,0.0,No,Metropolitian,29,9.115764661603613
32.0,4.7,Windy,High,1,Snack,motorcycle,1.0,No,Metropolitian,26,1.51941827697081
39.0,3.6,Stormy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39,10.873899872586302
21.0,4.8,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,39,10.704466554143599
34.0,4.9,Sandstorms,Low,1,Snack,scooter,1.0,No,,26,3.107182360855718
26.0,4.8,Sandstorms,Jam,1,Buffet,motorcycle,0.0,No,Urban,15,9.429277693727657
22.0,4.6,Fog,Low,1,Snack,scooter,1.0,No,Urban,13,3.1069510110352483
28.0,4.7,Stormy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,22,14.035915001704884
20.0,4.5,Sandstorms,Jam,2,Buffet,scooter,1.0,No,Urban,25,13.572671353970724
32.0,4.7,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,29,10.749520182431374
28.0,4.8,Sunny,Low,2,Buffet,scooter,0.0,No,Urban,20,2.9827820337736886
,,Fog,Medium,1,Drinks,scooter,0.0,No,Metropolitian,34,16.374047522949617
39.0,4.3,Sandstorms,Medium,0,Drinks,motorcycle,3.0,No,Metropolitian,47,13.961860830739475
,,,,3,Meal,bicycle,1.0,No,Metropolitian,24,3.0230853711391457
31.0,4.7,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,25,1.5715464192431179
31.0,5.0,Fog,Low,2,Meal,electric_scooter,,No,Urban,28,19.33145388657157
26.0,4.8,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,26,9.175140679101585
21.0,4.8,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,1.551782908461293
22.0,4.7,Fog,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,27,6.050190559479405
22.0,4.8,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,29,12.06679672518192
28.0,4.0,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,44,19.646409524237782
21.0,2.7,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,41,12.071653907139284
32.0,4.8,Sandstorms,Low,1,Meal,motorcycle,1.0,No,Metropolitian,21,1.5138548201186546
25.0,4.5,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,12.098567827126432
37.0,4.8,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,16,9.115764661603613
28.0,4.7,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,20,16.81690772979202
36.0,4.8,Fog,High,2,Snack,scooter,1.0,No,Metropolitian,26,6.046296387440115
22.0,4.7,Fog,Low,0,Meal,motorcycle,0.0,No,Metropolitian,21,3.023097115673781
25.0,4.9,Fog,Jam,1,Snack,motorcycle,2.0,No,Metropolitian,41,11.897391077562299
28.0,4.6,Stormy,Low,2,Drinks,scooter,0.0,No,,17,3.1430928207904922
28.0,4.7,Sunny,Low,2,Snack,scooter,1.0,No,Metropolitian,23,1.5313132935469627
23.0,5.0,Windy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,16,20.873993596758734
29.0,4.9,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20,7.320558298660428
24.0,4.7,Fog,Jam,0,Meal,motorcycle,1.0,No,Urban,42,12.202209490562065
21.0,4.6,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,25,4.671238865357893
20.0,4.3,Fog,Jam,2,Buffet,scooter,1.0,No,Metropolitian,34,13.759681212624066
33.0,4.6,Stormy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,47,7.4436418581029615
26.0,4.7,Sandstorms,Low,1,Meal,scooter,0.0,No,Metropolitian,13,14.012947318391499
,,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,51,12.572369364893285
25.0,4.8,Cloudy,Jam,1,Snack,motorcycle,2.0,No,Metropolitian,43,19.646409524237782
32.0,5.0,Sunny,Medium,0,Snack,motorcycle,0.0,No,Urban,26,6.205351823453323
29.0,4.5,Stormy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,10.8593803916599
39.0,4.6,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Urban,21,4.576173242248576
,,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,38,12.412005626447508
39.0,4.3,Windy,High,1,Snack,motorcycle,1.0,No,Metropolitian,31,6.113378430564671
37.0,4.9,Cloudy,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,19,3.023097115673781
32.0,4.7,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,28,9.076131124404851
20.0,4.6,Fog,Medium,0,Buffet,motorcycle,1.0,Yes,Metropolitian,44,12.24732009605108
32.0,4.8,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,26,19.748491619686575
24.0,4.9,Cloudy,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,41,12.23135131077928
27.0,4.7,Windy,High,2,Snack,scooter,1.0,No,Metropolitian,14,3.0169331080184976
36.0,4.9,Sunny,Medium,1,Meal,scooter,1.0,No,Metropolitian,24,7.54261910119877
32.0,5.0,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,29,12.427107097089786
33.0,4.7,Stormy,Jam,2,Drinks,electric_scooter,1.0,No,,27,20.168266432962156
24.0,4.0,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,31,17.06215279044343
29.0,4.5,Windy,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,29,8.93248563994729
39.0,4.8,Windy,Medium,1,Drinks,scooter,0.0,No,Metropolitian,30,7.4436418581029615
24.0,4.6,Windy,High,2,Meal,scooter,1.0,No,Urban,15,1.5194644172882608
21.0,4.6,Sunny,Jam,2,Drinks,scooter,1.0,No,Metropolitian,20,10.273913728721478
37.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,52,13.67392580026565
31.0,4.1,Cloudy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,35,19.963090576312567
22.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,27,10.899146237490369
38.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,25,1.553449035366631
25.0,4.8,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,16,3.0388802553836536
32.0,4.4,Sandstorms,Medium,2,Meal,electric_scooter,1.0,No,Urban,33,5013.684951959114
20.0,5.0,Stormy,Jam,1,Drinks,scooter,0.0,No,Metropolitian,14,7.785267915415318
23.0,4.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,33,12.091777892341293
32.0,5.0,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,28,7.443967922445595
26.0,4.7,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,17,19.6064218229216
25.0,5.0,Windy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,16,1.5194640113302174
21.0,4.6,Sandstorms,Jam,2,Buffet,motorcycle,,No,Metropolitian,27,7.3210017652514905
22.0,2.9,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,33,13.398058466719286
22.0,4.8,Sunny,Medium,0,Buffet,motorcycle,1.0,No,,17,11.000823613167864
20.0,4.8,Sunny,Jam,2,Meal,scooter,1.0,No,Urban,14,7.785547967704845
34.0,4.2,Stormy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,51,11.912111560292386
30.0,4.6,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,26,4.467479842380697
32.0,4.5,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,42,11.91598644883055
37.0,4.8,Windy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,23,1.5091499477805288
31.0,4.9,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,36,9.309220758214595
27.0,4.8,Sunny,Medium,2,Meal,scooter,1.0,No,Urban,15,10.634422686579148
29.0,4.6,Sandstorms,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,18,1.5193468207434744
26.0,4.5,Sandstorms,Medium,2,Snack,motorcycle,1.0,No,Urban,21,20.84024194783426
35.0,4.4,Windy,Jam,1,Meal,scooter,2.0,No,Metropolitian,39,10.8593803916599
38.0,3.4,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,34,16.626363248214012
35.0,4.0,Fog,Jam,1,Snack,scooter,2.0,No,Metropolitian,47,13.384592866711118
28.0,3.3,Sunny,Low,2,Buffet,electric_scooter,2.0,No,Metropolitian,43,12.23580891776874
25.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,18,4.654933320908583
35.0,4.7,Cloudy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,17,6.046752344596588
36.0,4.8,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,27,1.4642388182846706
22.0,4.4,Fog,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40,17.066749209268597
34.0,4.6,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,34,4.654748354104905
30.0,4.9,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,27,1.5715464192431179
21.0,4.8,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,29,12.572369364893285
28.0,4.8,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,19,13.779823724816666
27.0,4.6,Cloudy,Low,1,Drinks,motorcycle,0.0,No,Urban,10,7.656030991957176
28.0,4.0,Windy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,38,10.717918149850895
23.0,5.0,Fog,High,0,Snack,motorcycle,1.0,No,Urban,24,3.0625630838608924
37.0,4.2,Fog,Medium,2,Snack,motorcycle,1.0,Yes,Metropolitian,43,12.285790402241211
38.0,4.8,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,21,3.103414858324161
28.0,5.0,Sunny,Low,2,Drinks,motorcycle,0.0,No,Metropolitian,17,1.5085198701919955
25.0,4.0,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,9.172375927162342
22.0,4.9,Sandstorms,Jam,0,Meal,motorcycle,2.0,No,Urban,36,16.892289126576216
29.0,4.8,Cloudy,Low,1,Snack,scooter,0.0,No,Urban,19,3.103405864186195
21.0,4.3,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,33,10.8995669631892
20.0,4.8,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,29,4.7146391697631795
32.0,4.8,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,23,4.534694725501057
27.0,4.5,Fog,Medium,2,Meal,scooter,0.0,No,Metropolitian,15,7.54214985272768
32.0,4.8,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,28,6.077778650621957
,,Stormy,Low,1,Drinks,scooter,1.0,No,Metropolitian,22,13.780289796991019
36.0,4.8,Sunny,High,0,Drinks,motorcycle,0.0,No,Metropolitian,21,6.045990580080691
,,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,34,9.116069454845718
27.0,4.6,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,18,1.4889755373169837
32.0,4.8,Sunny,Jam,2,Buffet,electric_scooter,0.0,No,Urban,19,4.671239871922846
,,Stormy,Low,0,Snack,motorcycle,1.0,No,Urban,29,3.0860736010787773
37.0,4.5,Windy,Jam,1,Buffet,scooter,0.0,No,Urban,25,12.202052060002169
36.0,4.7,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,29,9.05031854018262
28.0,4.6,Sunny,Medium,2,Snack,scooter,0.0,No,Metropolitian,10,9.115363144720819
26.0,5.0,Windy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,31,7.596255664668238
,,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Urban,34,12.285489697463937
36.0,4.3,Stormy,High,2,Meal,scooter,1.0,No,Metropolitian,34,6.238172310095956
20.0,5.0,Fog,Medium,2,Drinks,scooter,1.0,No,Urban,29,11.976123529708175
20.0,4.6,Fog,Low,2,Drinks,electric_scooter,0.0,No,Urban,15,9.343185386161085
38.0,4.8,Sunny,High,1,Buffet,motorcycle,0.0,No,Metropolitian,22,1.531302762197395
20.0,4.8,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,35,9.215092518598707
30.0,,Windy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,34,7.485363370369977
